,Post Office,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,August Kranti Marg,18.963548899999996,72.8099885,Cumballa Hill Heart hospital,18.96377847342585,72.80909128711616,Emergency Room
1,Andheri (East),19.1158835,72.854202,criticare hospital,19.11826282422539,72.85063921903573,Hospital
2,Andheri (West),19.1172495,72.833968,Sujay Hospital,19.115915240762035,72.83427004487994,Hospital
3,Antop Hill,19.0207608,72.8652556,sai hospital,19.023058526222048,72.86282410936433,Hospital
4,Ballard Estate,18.9366512,72.83913249999998,Seaman Hospital,18.936524,72.83938,Medical Center
5,Bandra (East),19.0616565,72.8498111,Pali Hill Hospital and Nursing Home,19.059374634564225,72.85155079924452,Hospital
6,Bandra (West),19.058335800000002,72.83026690000001,Holy Family Hospital,19.0555512314129,72.82677252326529,Hospital
7,Barve Nagar,19.0952831,72.90017759999998,disha hospital,19.094025,72.898619,Hospital
8,Bhandup,19.1438684,72.9384327,sulochna eye hospital,19.145923,72.93757,Eye Doctor
9,Mumbai Central,18.9695855,72.8193152,Jag Jeevan Ram Central Railway Hospital,18.97159037339344,72.82370567552239,Hospital
10,Borivli (East),19.225108499999997,72.8502063,Suvarna Hospital,19.223966437334894,72.84643898248852,Hospital
11,Borivli (West),19.225108499999997,72.8502063,Suvarna Hospital,19.223966437334894,72.84643898248852,Hospital
12,Borivli HO,19.2314681,72.8405735,Sai Lee hospital,19.229728255204094,72.84077893357424,Hospital
13,Chakala MIDC,19.115287300000002,72.8618085,Bombay Veterinary Hospital and College,19.11213172739797,72.86623369198303,Veterinarian
14,Chembur,19.0612128,72.89759090000003,Tandon hospital,19.059570449887445,72.89979041574054,Hospital
15,Chinch Bunder,18.9641312,72.8416378,J. J. Hospital,18.96592520803407,72.84032889345336,Hospital
16,Cumballa Hill,18.9693073,72.8065375,Breach Candy Hospital,18.972528069364603,72.80451218132819,Hospital
17,Dadar,19.019282,72.8428757,Ashvini Hospital,19.014965954731068,72.84280410382019,Hospital
18,Dahisar,19.2494501,72.85962059999999,Silverline Hospital,19.248833,72.85847,Hospital
19,Dharavi,19.044463,72.8586177,Lions Tarachand Bapa Hospital,19.03881757500956,72.85944332522605,Hospital
20,F C I Mumbai,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
21,Ghatkopar (West),19.0897194,72.90459720000001,Sarvodaya Hospital,19.089062212903844,72.9081889596641,Hospital
22,Girgaon,18.9543165,72.8179082,Harkisandas Hospital,18.958747146141814,72.81979348677741,Hospital
23,Goregaon (West),19.1633281,72.8411995,Kapadia Hospital,19.163116598793884,72.8434676174714,Hospital
24,Grant Road,18.9644472,72.81357270000002,Bhatia General Hospital,18.96557543199616,72.8132646006718,Hospital
25,I I T Mumbai,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
26,J B Nagar,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
27,Jacob Circle,18.9810531,72.82678629995553,kasturbha hospital,18.980615615844727,72.82962036132812,Hospital
28,Jogeshwari (East),19.1369889,72.8649418,Kokan Hospital,19.134197,72.865214,Hospital
29,Jogeshwari (West),19.136394,72.83738170000002,RG Stone Urology & Laparoscopy Hospital,19.136691328974155,72.83663045531416,Hospital
30,Juhu,19.1070215,72.8275275,Lotus hospital,19.10655934902745,72.82997197121956,Hospital
31,Kalbadevi,18.9492575,72.82793819999998,Noor Hospital,18.95122063663887,72.82891605973055,Hospital
32,Kandivli (East),19.2064788,72.83845050000002,Grace Hospital,19.206113930595237,72.83855180382228,Hospital
33,Kandivli (West),19.2064788,72.83845050000002,Grace Hospital,19.206113930595237,72.83855180382228,Hospital
34,Kharodi,19.191684,72.8140978,Aarush hospital,19.194718273033907,72.8160370342735,Doctor's Office
35,Kurla,19.065279699999998,72.87938050000002,Kurla Bhabha Hospital,19.067162200709518,72.88004460590571,Hospital
36,Mahim,19.0423145,72.8398344,Raheja Hospital,19.046285106564515,72.84231298013032,Hospital
37,Malabar Hill,18.9581616,72.80336650000002,Hospital for women care,18.9569803587444,72.80842040358746,Hospital
38,Malad (East),19.186021899999997,72.8563181,Sanjeevani Hospital,19.184664761405397,72.85292874045913,Hospital
39,Malad (West),19.1840129,72.8412155,Aashiwad hospital,19.182591596738387,72.84300027326202,Hospital
40,Mandpeshwar,19.23584235,72.85283655957588,Alok shah hospital,19.233115674091447,72.85408111371629,Hospital
41,Mandvi,18.9550564,72.83479190000001,Dholkawala Maternity Hospital,18.952807167912813,72.83398785513971,Hospital
42,Mantralaya,18.92766235,72.82703930367538,Banfield The Pet Hospital,18.926430152290173,72.83169719382073,Veterinarian
43,Matunga,19.027435600000004,72.85014670000002,Dr Pai Hospital,19.026866758406612,72.85493169341973,Hospital
44,Mazgaon,18.968051899999995,72.84001187036267,J. J. Hospital,18.96592520803407,72.84032889345336,Hospital
45,Motilal Nagar,19.1589951,72.84019707773173,Siddharth Hospital,19.15906672141416,72.8397403781938,Hospital
46,Mulund (East),19.1704719,72.9610447,Holy Trinity Hospital,19.170667054191306,72.96046556321099,Hospital
47,Mulund (West),19.1719717,72.95119559999998,Hira Mongi Navneet Hospital,19.173257153080016,72.9537738708323,Hospital
48,Mulund Colony,19.1777778,72.93835109999998,vertex Hospital,19.181507426925034,72.93857930389805,Hospital
49,Nehru Nagar,19.0010485,72.8194265,Poddar hospital/sidharth nagar bus stop,19.001744207508427,72.81550039349504,Bus Line
50,Prabhadevi,19.0148811,72.8279556,Siddhivinayak Healthcare General Hospital and ICU,19.01378,72.832408,Hospital
51,Rajawadi,19.07853645,72.90019463836587,Rajawadi Hospital,19.079081378166112,72.90418007599287,Emergency Room
52,SEEPZ,19.125355600000002,72.8751701719707,TFT test seven hills hospital,19.122182447484885,72.87744286085801,Hospital
53,Saki Naka,19.1082208,72.88358240000002,Bhagvati Hospital,19.109003195649844,72.88429617765344,Hospital
54,Santacruz (East),19.0815223,72.84175649999997,R K Hospital,19.081489523060466,72.84150014998147,Hospital
55,Santacruz (West),19.084877,72.83497270000002,Sarla hospital,19.085886983390502,72.83665353466544,Hospital
56,Shivaji Nagar (Kurla),19.1141005,72.86228990000002,Bombay Veterinary Hospital and College,19.11213172739797,72.86623369198303,Veterinarian
57,Tank Road,19.02816595,72.86832536911001,Mata lachmi HOspital,19.028012365034762,72.86788365888006,Hospital
58,Telecom Factory Deonar,19.046900450000006,72.91846239254782,BARC Hospital,19.043737570829826,72.91502409586582,Hospital
59,Tilak Nagar,19.0692377,72.8978464,Tata Memorial Hospital,19.06857429634996,72.89964620740594,Hospital
60,Tulsiwadi,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
61,Vikhroli,19.1114795,72.928021,Samarth Hospital,19.108259378078905,72.92802473569013,Hospital
62,Vile Parle (East),19.0962884,72.84837990000003,laud hospital,19.098188400268555,72.84888458251953,Hospital
63,Vile Parle (West),19.1038725,72.84029029999998,Kls Hospital,19.1078197568292,72.84107895985925,Hospital
64,Worli,19.0116962,72.81807020000002,Peoples Mobile Hospital,19.008040001941247,72.81939534016604,Hospital
65,Uran,18.8808,72.9386,palvi hospital,18.877988815307614,72.93889617919922,Hospital
66,Vashi,19.075713,73.0003541,Kaushalya hospital Thane,19.07514039021415,72.9978376535054,Hospital
67,Bhayandar,19.1971521,72.8113662,Aarush hospital,19.194718273033907,72.8160370342735,Doctor's Office
68,Boisar,19.2091438,72.8591832,Gokul Hospital,19.21125729232125,72.8623683408754,Hospital
69,Manor,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
70,Mira,19.282057100000006,72.8741437,Samratha hospital,19.28141975402832,72.87437438964844,Emergency Room
71,Mira Road,19.1878962,72.8365955,The Children's Hospital,19.188863927756245,72.8356438110027,Hospital
72,Naupada,19.083579,72.88865190000001,Amar Hospital,19.08496284484864,72.88475799560547,Hospital
73,Thane (East),19.0308262,73.0198537,Terna Sahyadri Hospital And Research Center,19.031708870075352,73.0166800229805,Hospital
74,Bhavani Shankar Road,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
75,Mumbai G P O,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
76,Council Hall,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
77,N I T I E,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
78,Rajbhavan,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
79,Veer Jijamata Bhosle Udyan,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
80,Vesava (Versova),19.13373646053233,72.81487711581413,Kaleskar Hospital,19.13533486617732,72.81190544698866,Hospital
81,Vidyanagari,19.109091600000006,72.8607705,Holy Spirit Hospital,19.109899816596013,72.85890101075239,Hospital
82,JNPT Town Ship,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
83,Nerul Mode,19.047375,73.0193,Harish hospital,19.044282529137842,73.01898620641408,Hospital
84,Arnala,19.2023218,73.0025371,Saubhagya Hospital Kalwa,19.20058250427246,72.999267578125,Hospital
85,Balcum,19.2023218,73.0025371,Saubhagya Hospital Kalwa,19.20058250427246,72.999267578125,Hospital
86,Ganeshpuri,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
87,Jakegram,19.13261205,72.93201331422414,Aniket hospital,19.130342483520508,72.9347152709961,Hospital
88,Kalwa,19.2023218,73.0025371,Saubhagya Hospital Kalwa,19.20058250427246,72.999267578125,Hospital
89,Kopri Colony,19.13261205,72.93201331422414,Aniket hospital,19.130342483520508,72.9347152709961,Hospital
90,Papdi,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
91,Sandoz Baug,19.2023218,73.0025371,Saubhagya Hospital Kalwa,19.20058250427246,72.999267578125,Hospital
92,Vasai Road East,18.9387711,72.8353355,St. George Hospital,18.937614,72.837459,Hospital
93,B A R C,19.0167,72.85,janani hospital,19.018781661987305,72.85049438476562,Hospital
94,NAD Karanja,19.0778,72.8944,My Global Hospital,19.07706433745922,72.88990974426268,Hospital
95,August Kranti Marg,18.963548899999996,72.8099885,Gokul fast food,18.9634509,72.81056720000002,Sandwich Place
96,Aarey Milk Colony,19.1561292,72.8707223,Panchvati Fast Food Corner,19.15762809596761,72.87450648963448,Fast Food Restaurant
97,Andheri (East),19.1158835,72.854202,Sunny food corner,19.114074,72.850296,Sandwich Place
98,Andheri (West),19.1172495,72.833968,Sardaarji | Food On The Go,19.117716,72.829411,Fried Chicken Joint
99,Antop Hill,19.0207608,72.8652556,quality foods,19.023070298439734,72.86294526286896,Bagel Shop
100,Ballard Estate,18.9366512,72.83913249999998,Mumbai's Foodie Corner,18.934507575744806,72.83548225482843,Snack Place
101,Bandra (East),19.0616565,72.8498111,Varde's Food Land,19.061474,72.84957,Seafood Restaurant
102,Bandra (West),19.058335800000002,72.83026690000001,Aditi Fast Food Pvt,19.053972582758526,72.83255114564403,Indian Restaurant
103,Bangur Nagar,19.1688142,72.8336777,"Food court ,Mega Mall",19.17071362102183,72.83492834713209,Food Court
104,Bhandup,19.1438684,72.9384327,Namaskar Fast Food,19.145116315853336,72.93626656693166,Chinese Restaurant
105,Bhandup (East),19.1485568,72.9470657,Food Sagar,19.14840069666061,72.94783579411006,Indian Restaurant
106,Mumbai Central,18.9695855,72.8193152,s s fast food,18.971639605663377,72.82198039646178,Fast Food Restaurant
107,Borivli (East),19.225108499999997,72.8502063,Food Bites,19.223705,72.850952,Fast Food Restaurant
108,Borivli (West),19.225108499999997,72.8502063,Food Bites,19.223705,72.850952,Fast Food Restaurant
109,Borivli HO,19.2314681,72.8405735,Sanjana Fast Food,19.23507041928713,72.84274063720221,Fast Food Restaurant
110,Chakala MIDC,19.115287300000002,72.8618085,Banarasi Fast Food & Milk Centre,19.11416410349732,72.86194141771543,Fast Food Restaurant
111,Chembur,19.0612128,72.89759090000003,Food Fantasy,19.059649727768388,72.90056337093792,Snack Place
112,Chinch Bunder,18.9641312,72.8416378,Street Food Corner Mazagoan,18.964665482461935,72.84377917977885,Food Truck
113,Colaba,18.915091,72.8259691,Street Food Express,18.914036,72.8244,Indian Restaurant
114,Cumballa Hill,18.9693073,72.8065375,Foodspot,18.974773000000006,72.80633,Snack Place
115,Dadar,19.019282,72.8428757,Food Court,19.018067,72.841946,Food Court
116,Dahisar,19.2494501,72.85962059999999,Pillu's Fast Food Center,19.24758535116026,72.8573490615655,Chinese Restaurant
117,Delisle Road,18.993260199999998,72.8310115,Hdfc Bank food court,18.995994,72.826451,Cafeteria
118,F C I Mumbai,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
119,Ghatkopar (West),19.0897194,72.90459720000001,Patel Food Corner,19.086137009567867,72.90759484156672,Snack Place
120,Girgaon,18.9543165,72.8179082,food factory,18.955806732177734,72.81903076171875,Pizza Place
121,Goregaon (East),19.169262300000003,72.8552548,Pritam Fast Food,19.16637263834696,72.85237006461341,Indian Restaurant
122,Goregaon (West),19.1633281,72.8411995,Chicken Saraswat Malwani Food,19.164767,72.845996,Indian Restaurant
123,Grant Road,18.9644472,72.81357270000002,Gokul fast food,18.9634509,72.81056720000002,Sandwich Place
124,Hutatma Chowk,18.9341699,72.83252,Food for Thought,18.932030548104752,72.83166719005115,Café
125,I I T Mumbai,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
126,J B Nagar,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
127,Jogeshwari (West),19.136394,72.83738170000002,R K Juice & Fast Food Center,19.137720108032227,72.83335876464844,Fast Food Restaurant
128,Juhu,19.1070215,72.8275275,BEST Indian and chinese food cornor,19.106897354125977,72.82740783691406,Chinese Restaurant
129,Kalbadevi,18.9492575,72.82793819999998,Annapurna food center,18.95011542398918,72.82867948877055,Fast Food Restaurant
130,Kandivli (East),19.2064788,72.83845050000002,Shri Krishna Chinese Food,19.207460403442386,72.8367919921875,Chinese Restaurant
131,Kandivli (West),19.2064788,72.83845050000002,Shri Krishna Chinese Food,19.207460403442386,72.8367919921875,Chinese Restaurant
132,Khar,19.069658399999998,72.8398944,Mirzaghalib & The Indian Food,19.06903559179481,72.8402077286633,Indian Restaurant
133,Mahim,19.0423145,72.8398344,Tazza Fast Food,19.03905189857923,72.84186644911874,Fast Food Restaurant
134,Malabar Hill,18.9581616,72.80336650000002,St Stephen's  Fast Food,18.954559326171875,72.80374908447266,Fast Food Restaurant
135,Malad (West),19.1840129,72.8412155,food forward,19.180362701416016,72.83699035644531,Middle Eastern Restaurant
136,Mandpeshwar,19.23584235,72.85283655957588,Rajendra Fast Food II,19.230868328586766,72.8524969928035,Fast Food Restaurant
137,Mandvi,18.9550564,72.83479190000001,humsyd ayaan fast food,18.955280763583275,72.83374551919181,Middle Eastern Restaurant
138,Mantralaya,18.92766235,72.82703930367538,Food King,18.92995834350586,72.82711029052734,Vegetarian / Vegan Restaurant
139,Marine Lines,18.9456701,72.82378100000003,s.dsouza goan food,18.94533920288086,72.82657623291016,Asian Restaurant
140,Matunga,19.027435600000004,72.85014670000002,D.P's Fast Food Centre,19.02336743364745,72.84949356999297,Fast Food Restaurant
141,Mazgaon,18.968051899999995,72.84001187036267,Kings Fast Food,18.971401,72.84043,Fast Food Restaurant
