,Post Office,Pin Code,Latitude,Longitude,City,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Doolally Taproom,18.963808658901762,72.80769462764825,Brewery
1,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,symphony,18.96334673956512,72.81025132774622,Restaurant
2,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Crossword,18.963473908470725,72.80777306112464,Bookstore
3,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Swati Snacks,18.96644170253803,72.81353124991814,Indian Restaurant
4,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Gustoso,18.964198,72.807726,Pizza Place
5,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,6th Street Yogurt,18.964679900122086,72.80514514977106,Dessert Shop
6,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Mani Bhavan Gandhi Sangrahalaya (Gandhi Museum),18.959689304786533,72.81147518378836,History Museum
7,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,B:Blunt,18.96041,72.809329,Salon / Barbershop
8,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Krishna Palace Residency Hotel,18.962266372456128,72.81395955048289,Hotel
9,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Francesco's Pizzeria,18.96478038379596,72.80463029311528,Pizza Place
10,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Love Sugar Dough,18.964757056320078,72.80445555072953,Bakery
11,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Moshe's,18.963437500081216,72.80781003610176,Café
12,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Starbucks,18.963767999999998,72.80728,Coffee Shop
13,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,China Garden,18.96390281359304,72.80705247408125,Bar
14,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Tejpal Hall,18.962768550276056,72.80907792391727,Concert Hall
15,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Vicinia,18.964681306725712,72.8046462161903,Italian Restaurant
16,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,August Kranti Maidan,18.963433226008846,72.81008323144995,Park
17,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Jean-Claude Biguine,18.964785403463107,72.80498287952193,Salon / Barbershop
18,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,di bella,18.965555598917025,72.80700445316842,Café
19,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Baroke,18.96224569240366,72.81373288659559,Lounge
20,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Cafe Coffee Day,18.966998536545987,72.81398279008906,Coffee Shop
21,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Happiness Deli,18.96070544984165,72.81285722532047,Deli / Bodega
22,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Subway,18.964736607152574,72.80444994846334,Sandwich Place
23,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Westside,18.958839128105122,72.81074558942929,Clothing Store
24,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,The Flute,18.962303300047036,72.8139775967293,Chinese Restaurant
25,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Bhaji Gali,18.96314382698096,72.81335740466609,Farmers Market
26,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,29 Twenty Nine,18.963145987145978,72.80836101411886,Diner
27,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,RTI ¤,18.959242398599574,72.80974288694999,Food Court
28,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Crossword @ Kemps Corner,18.961710490891093,72.80872592386461,Bookstore
29,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Precious Salon,18.964703195409516,72.80592721694606,Cosmetics Shop
30,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,A Chocolate Affair,18.96469215018504,72.8056213769354,Dessert Shop
31,August Kranti Marg,400036,18.9635489,72.8099885,Mumbai,Universal Kebab Kona,18.96513143709947,72.81518879508393,Food Truck
32,Aarey Milk Colony,400065,19.1561292,72.8707223,Mumbai,Panchvati Fast Food Corner,19.15762809596761,72.87450648963448,Fast Food Restaurant
33,Aarey Milk Colony,400065,19.1561292,72.8707223,Mumbai,Chota Kashmir Boating,19.160905232933896,72.87248158416145,Lake
34,Andheri (East),400069,19.1158835,72.854202,Mumbai,Maharaja Restaurant,19.116154809545996,72.85581626501495,Indian Restaurant
35,Andheri (East),400069,19.1158835,72.854202,Mumbai,King chilly,19.11065238563932,72.85296431874953,Chinese Restaurant
36,Andheri (East),400069,19.1158835,72.854202,Mumbai,Domino's Pizza,19.11449,72.85015,Pizza Place
